Catalog,PME Code,SMILES,Viability Mask 1,Viability Mask 2,LPS Abs,LPS Abs Std,LPS Lum,LPS Lum Std,MPLA Abs,MPLA Abs Std,MPLA Lum,MPLA Lum Std,CpG Abs,CpG Abs Std,cGAMP Abs,cGAMP Abs Std,cGAMP Lum,cGAMP Lum Std,LMCpG Abs,LMCpG Abs Std,LMcGAMP Lum,LMcGAMP Lum Std
S1014,Primary,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,26.02258,16.21934,1.6173911090000002,0.641510308,1.11284554,0.193594187,1.513032556,0.06477318,0.949972928,0.029425079,1.944423318,0.101001263,1.383995295,0.301033854,0.816919446,0.045054264,1.6916156610000002,0.3767989274777563,0.959912638,0.1160092398890837
S1017,Primary,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,10.94023,6.576089,0.671073854,0.1806630339999999,0.06997063,0.02212448,1.955208778,0.083957016,1.861033201,0.057551265,0.212333053,0.007507694,1.39533639,0.304452658,0.428564787,0.084404364,0.9462052283333334,0.1151003589031575,0.7865228726666667,0.060348259794339
S1018,Primary,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,25.15406,22.06191,0.554428339,0.1501407619999999,0.20174022,0.0787644159999999,0.962251484,0.071922697,0.344774246,0.034711458,0.2307726439999999,0.034089811,0.8686225409999999,0.127383739,0.072360985,0.02242812,0.5824841556666667,0.0981108861980669,0.206291817,0.0513541271014031
S1020,Primary,O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl,23.32932,14.89244,0.238017395,0.045258749,2.500562906,0.25986892,0.201959342,0.008836405,2.0467162130000003,0.096690521,0.18520996,0.007745535,0.8069370990000001,0.118311115,0.5245444770000001,0.027652878,0.2083955656666666,0.0269964795655856,1.6906078653333336,0.160878415886968
S1021,Primary,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,17.66198,8.779364,0.704481602,0.12539196,0.687924922,0.140805289,0.7997517590000001,0.037181217,0.628336549,0.01968861,0.653005242,0.052663784,0.859145761,0.126638994,0.073192351,0.011928858,0.7190795343333334,0.0814024173994878,0.463151274,0.0823732732288205
S1025,Primary,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,18.29825,9.384423,1.670722365,0.398938954,0.943246663,0.209008276,1.49798584,0.075430162,0.92183435,0.043550078,2.231624603,0.128249869,1.076427579,0.158153415,0.70249629,0.028021477,1.800110936,0.2458251595860206,0.8558591010000001,0.1243198454304591
S1026,Primary,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,20.38495,5.715895,1.291232228,0.161183521,0.6010494829999999,0.0903549569999999,1.461831808,0.073353715,0.940658927,0.0980314019999999,0.201301217,0.007176737,1.162528992,0.170456395,0.3175174,0.017332328,0.9847884176666666,0.1023269278672136,0.6197419366666667,0.077619979443562
S1028,Primary,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1,27.90189,10.60151,4.163820267,0.199630335,3.356048346,0.427412331,1.5578477380000002,0.075044855,1.284914851,0.0411151239999999,0.272060305,0.015339633,1.433423281,0.210632712,0.263643026,0.0216535679999999,1.997909436666667,0.1234494569378603,1.634868741,0.2482207559945511
S1029,Primary,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,32.86495,16.62451,1.141117096,0.228022277,0.986237228,0.254362524,1.014198065,0.042526614,1.063413262,0.045716107,0.998276711,0.041144632,1.05352366,0.18391706,1.059179544,0.042647395,1.051197290666667,0.1360092551372701,1.036276678,0.1512272642473043
S1030,Primary,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,14.60712,8.555028,4.602829456,0.609989583,0.7754862309999999,0.192178622,2.625416756,0.110333033,0.349579573,0.02306306,0.219215363,0.010373035,1.229364157,0.288249761,0.042469457,0.002091004,2.482487191666667,0.357942392662378,0.3891784203333333,0.1117570278000605
